member_id,engagement_score,home_studio_region,gender,age,membership_tenure_months,avg_weekly_classes_last_6_months,num_unique_class_types_attended,auto_renew_enabled,last_attended_30_days_flag,monthly_membership_cost,referral_source,is_churned,studio_name,studio_id,address_full
M0001,53,Region_0,Non-binary,42.75154004,13,2.730769231,4,1,1,229,Online Ad,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0002,63,Region_8,Female,62.73237509,45,2.115384615,4,1,1,129,Employer Program,0,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0003,77,Region_2,Non-binary,22.28610541,52,3.115384615,4,1,1,169,Online Ad,0,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0004,78,Region_0,Female,34.20670773,53,3.192307692,4,1,1,169,Online Ad,0,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0005,21,Region_6,Female,53.77686516,30,0.653846154,4,1,0,169,Online Ad,1,Castle Rock,STUDIO_015,"3990 LIMELIGHT AVE, Castle Rock, CO 80109"
M0006,85,Region_3,Non-binary,19.24709103,54,3.807692308,4,1,1,229,Online Ad,0,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0007,56,Region_3,Non-binary,21.71663244,13,2.961538462,4,1,1,229,Employer Program,0,Hilltop Village,STUDIO_006,"4243 E 136TH AVE, Thornton, CO 80602"
M0008,48,Region_7,Non-binary,33.60711841,46,0.5,4,1,1,129,Employer Program,1,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0009,85,Region_1,Male,35.8110883,39,4.615384615,4,1,1,229,Community Event,0,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0010,60,Region_7,Female,50.18480493,47,1.692307692,4,1,1,169,Online Ad,1,Uptown Denver,STUDIO_004,"450 E. 17TH AVE, Denver, CO 80203"
M0011,62,Region_5,Non-binary,37.94934976,9,3.846153846,4,1,1,229,Social Media,0,Denver Highlands,STUDIO_005,"3300 W 32ND AVENUE, Denver, CO 80211"
M0012,44,Region_4,Female,41.6,4,2.202797203,4,1,1,169,Walk-in,1,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0013,40,Region_0,Female,61.82340862,8,1.692307692,4,1,1,129,Online Ad,1,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0014,48,Region_1,Non-binary,35.92060233,34,1.153846154,4,1,1,169,Online Ad,1,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0015,92,Region_6,Non-binary,43.34565366,64,4.076923077,4,1,1,229,Social Media,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0016,36,Region_7,Non-binary,59.09103354,2,1.518072289,4,1,1,169,Online Ad,1,Broomfield,STUDIO_001,"1285 E 1ST AVENUE, Broomfield, CO 80020"
M0017,67,Region_2,Non-binary,40.09034908,11,4.230769231,4,1,1,129,Online Ad,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
M0018,50,Region_1,Non-binary,41.28678987,23,1.884615385,4,1,1,169,Online Ad,0,Cherry Knolls,STUDIO_012,"6860 S University Blvd, Littleton, CO 80122"
